time	cwndsize
0.101844	2
0.204229	3
0.204614	4
0.306096	5
0.306369	6
0.306513	7
0.306819	8
0.40838	9
0.408617	10
0.408784	11
0.409163	12
0.409786	13
0.410017	14
0.410199	15
0.410511	16
0.515546	17
0.515946	18
0.516144	19
0.516743	20
0.516936	21
0.517235	22
0.517657	23
0.517858	24
0.518398	25
0.518591	26
0.518926	27
0.519113	28
0.519515	29
0.519889	30
0.519996	31
0.520118	32
0.620203	33
0.620476	34
0.620777	35
0.62087	36
0.621125	37
0.621212	38
0.621593	39
0.621675	40
0.621839	41
0.62204	42
0.622162	43
0.622407	44
0.622663	45
0.622787	46
0.623022	47
0.623324	48
0.623408	49
0.623662	50
0.623871	51
0.623954	52
0.62425	53
0.624438	54
0.624607	55
0.624791	56
0.625116	57
0.62519	58
0.625418	59
0.625712	60
0.625795	61
0.626047	62
0.626252	63
0.626394	64
0.73618	65
0.736378	66
0.736617	67
0.736741	68
0.736995	69
0.737116	70
0.737417	71
0.737536	72
0.737722	73
0.737991	74
0.738102	75
0.738386	76
0.738494	77
0.738772	78
0.738886	79
0.739165	80
0.739279	81
0.739558	82
0.73967	83
0.739961	84
0.740116	85
0.740397	86
0.74051	87
0.74069	88
0.741007	89
0.741143	90
0.741377	91
0.741571	92
0.741784	93
0.74191	94
0.742235	95
0.742365	96
0.742541	97
0.74281	98
0.742927	99
0.743277	100
0.743395	101
0.743551	102
0.743797	103
0.743988	104
0.744183	105
0.744374	106
0.744565	107
0.744762	108
0.745026	109
0.74519	110
0.745473	111
0.745601	112
0.74577	113
0.746005	114
0.746261	115
0.746428	116
0.746639	117
0.746875	118
0.747008	119
0.747332	120
0.747475	121
0.747669	122
0.747892	123
0.748037	124
0.74823	125
0.748481	126
0.748617	127
0.748708	128
0.855668	129
0.85589	130
0.856036	131
0.8562	132
0.856556	133
0.856693	134
0.85683	135
0.857104	136
0.857241	137
0.857431	138
0.857676	139
0.857815	140
0.858063	141
0.85821	142
0.858456	143
0.858663	144
0.858862	145
0.859061	146
0.85926	147
0.859459	148
0.859657	149
0.859866	150
0.860001	151
0.860205	152
0.860445	153
0.86064	154
0.860848	155
0.861049	156
0.861254	157
0.861458	158
0.861661	159
0.861866	160
0.862016	161
0.86227	162
0.862418	163
0.862617	164
0.862867	165
0.863062	166
0.863262	167
0.863474	168
0.863676	169
0.86389	170
0.864095	171
0.864298	172
0.8645	173
0.864702	174
0.864901	175
0.865101	176
0.865309	177
0.865454	178
0.865655	179
0.86591	180
0.866114	181
0.866322	182
0.866468	183
0.866668	184
0.86692	185
0.867125	186
0.867344	187
0.86751	188
0.867701	189
0.867941	190
0.868102	191
0.868265	192
0.868513	193
0.868726	194
0.868887	195
0.869137	196
0.869346	197
0.869508	198
0.869761	199
0.86997	200
0.870128	201
0.870376	202
0.870582	203
0.870743	204
0.871011	205
0.871182	206
0.871469	207
0.871604	208
0.871798	209
0.872022	210
0.87222	211
0.872387	212
0.872642	213
0.872843	214
0.873003	215
0.873271	216
0.873428	217
0.87371	218
0.873839	219
0.874051	220
0.87427	221
0.874483	222
0.874645	223
0.874902	224
0.875103	225
0.875263	226
0.875435	227
0.875697	228
0.875913	229
0.876076	230
0.876252	231
0.876511	232
0.876724	233
0.876885	234
0.877151	235
0.877362	236
0.877534	237
0.877788	238
0.877986	239
0.878151	240
0.878313	241
0.87858	242
0.87879	243
0.879035	244
0.879237	245
0.8794	246
0.87956	247
0.879901	248
0.880058	249
0.880213	250
0.880463	251
0.880663	252
0.88087	253
0.881089	254
0.881294	255
0.881449	256
0.993226	257
0.993512	258
0.99372	259
0.993899	260
0.994105	261
0.994302	262
0.994478	263
0.994669	264
0.994883	265
0.995792	266
0.99599	267
0.996172	268
0.996354	269
0.996533	270
0.996724	271
0.996909	272
0.997091	273
0.997272	274
0.997453	275
0.997634	276
0.997801	277
0.997975	278
0.998176	279
0.998323	280
0.998467	281
0.998634	282
0.998806	283
0.998983	284
0.999152	285
0.999302	286
0.999466	287
0.999644	288
0.99984	289
1.00008	290
1.00029	291
1.0005	292
1.00074	293
1.00096	294
1.00121	295
1.00142	296
1.00165	297
1.00187	298
1.00207	299
