time	pps	kbps
0.101179	0	0
0.201345	2	70.464
0.302326	4	140.928
0.403229	8	281.856
0.503731	16	563.712
0.604585	32	1127.42
0.704704	64	2254.85
0.804786	128	4509.7
0.904887	148	5214.34
1.00518	242	8526.14
1.10536	178	6271.3
1.20575	204	7187.33
1.30614	208	7328.26
1.40645	198	6975.94
1.50655	206	7257.79
1.60661	220	7751.04
1.70667	110	3875.52
1.80679	120	4227.84
1.90689	122	4298.3
2.00708	116	4086.91
2.10731	114	4016.45
2.20782	124	4368.77
2.30792	130	4580.16
2.40804	128	4509.7
2.50811	130	4580.16
2.60896	132	4650.62
2.70917	130	4580.16
2.81022	140	4932.48
2.91159	142	5002.94
3.01257	144	5073.41
3.11285	146	5143.87
3.21313	138	4862.02
3.31319	142	5002.94
3.41386	148	5214.34
3.5143	142	5002.94
3.61435	150	5284.8
3.71454	144	5073.41
3.81474	150	5284.8
3.91483	148	5214.34
4.01573	162	5707.58
4.11627	164	5778.05
4.21632	166	5848.51
4.31651	156	5496.19
4.41678	162	5707.58
4.51688	172	6059.9
4.61698	174	6130.37
4.71752	172	6059.9
4.81823	178	6271.3
4.91831	180	6341.76
5.01847	182	6412.22
5.11953	184	6482.69
5.2196	186	6553.15
5.31967	188	6623.62
5.41977	182	6412.22
5.52001	186	6553.15
5.6203	188	6623.62
5.72135	192	6764.54
5.82179	192	6764.54
5.92197	198	6975.94
6.0222	202	7116.86
6.12246	186	6553.15
6.22303	198	6975.94
6.32337	198	6975.94
6.42357	194	6835.01
6.52384	206	7257.79
6.624	204	7187.33
6.72408	214	7539.65
6.82413	216	7610.11
6.92432	210	7398.72
7.02453	204	7187.33
7.12465	208	7328.26
7.22527	220	7751.04
7.32538	220	7751.04
7.42546	224	7891.97
7.52556	228	8032.9
7.62635	226	7962.43
7.72728	230	8103.36
7.82744	236	8314.75
7.92755	232	8173.82
8.02775	232	8173.82
8.12783	230	8103.36
8.22795	238	8385.22
8.32863	244	8596.61
8.42892	236	8314.75
8.52901	242	8526.14
8.62911	244	8596.61
8.7292	254	8948.93
8.82956	248	8737.54
8.9303	248	8737.54
9.0304	242	8526.14
9.13049	246	8667.07
9.23057	258	9089.86
9.33081	262	9230.78
9.43141	254	8948.93
9.53251	262	9230.78
9.633	258	9089.86
9.73308	264	9301.25
9.83319	266	9371.71
9.93337	272	9583.1
10.0334	274	9653.57
10.1337	276	9724.03
10.2339	268	9442.18
10.3348	278	9794.5
10.435	276	9724.03
10.5351	278	9794.5
10.6352	278	9794.5
10.7352	286	10076.4
10.8354	290	10217.3
10.9367	288	10146.8
11.0367	288	10146.8
11.1369	254	8948.93
11.237	296	10428.7
11.3372	296	10428.7
11.4372	288	10146.8
11.5374	290	10217.3
11.6376	274	9653.57
11.7377	302	10640.1
11.8378	306	10781
11.9382	144	5073.41
12.0384	148	5214.34
12.1386	150	5284.8
12.2387	160	5637.12
12.3388	162	5707.58
12.4388	168	5918.98
12.539	170	5989.44
12.6396	172	6059.9
12.7398	174	6130.37
12.8399	176	6200.83
12.9399	178	6271.3
13.04	180	6341.76
13.1402	182	6412.22
13.2404	184	6482.69
13.3405	186	6553.15
13.4406	188	6623.62
13.5407	190	6694.08
13.6415	188	6623.62
13.7417	182	6412.22
13.8417	188	6623.62
13.9421	186	6553.15
14.0428	180	6341.76
14.1432	182	6412.22
14.2433	194	6835.01
14.3433	194	6835.01
