segment	time	rtt	rttvar	srtt	rto
0	0.101941	101.818	50.9089	101.818	305.453
1	0.203863	101.667	38.2194	101.799	254.676
2	0.225946	123.708	34.1418	104.538	241.105
3	0.305689	101.624	30.2383	104.355	225.308
4	0.306064	101.939	26.7605	104.204	211.246
5	0.327624	101.475	24.758	104.091	203.123
6	0.328007	101.817	22.8843	103.996	200
7	0.408062	102.141	21.57	103.938	200
8	0.408426	102.463	20.314	103.892	200
9	0.408611	102.421	19.3718	103.855	200
10	0.40895	102.728	18.4596	103.827	200
11	0.440811	112.961	18.071	104.017	200
12	0.441182	113.277	17.7039	104.21	200
13	0.441371	113.254	17.3946	104.372	200
14	0.441622	113.48	17.0987	104.534	200
15	0.50982	101.545	16.6578	104.488	200
16	0.510039	101.703	16.2242	104.444	200
17	0.510206	101.681	15.8503	104.406	200
18	0.510566	102.013	15.4765	104.372	200
19	0.511099	102.418	15.1384	104.348	200
20	0.511356	102.65	14.8024	104.327	200
21	0.511537	102.469	14.5082	104.306	200
22	0.528192	119.096	14.5146	104.474	200
23	0.542723	101.697	14.2701	104.445	200
24	0.543139	102.044	14.0228	104.42	200
25	0.543338	102.052	13.7987	104.397	200
26	0.543689	102.378	13.5721	104.378	200
27	0.544261	102.806	13.3578	104.364	200
28	0.544617	103.133	13.1413	104.353	200
29	0.553641	111.934	13.0486	104.416	200
30	0.55405	112.313	12.9628	104.482	200
31	0.61215	102.205	12.7958	104.464	200
32	0.632706	122.734	12.8813	104.607	200
33	0.633078	122.964	12.9619	104.742	200
34	0.633275	123.129	13.0416	104.877	200
35	0.63375	123.476	13.1188	105.006	200
36	0.634309	124.007	13.2005	105.138	200
37	0.634573	123.926	13.274	105.261	200
38	0.634753	124.081	13.347	105.385	200
39	0.635204	123.978	13.4126	105.502	200
40	0.635562	124.307	13.48	105.619	200
41	0.635805	124.362	13.5426	105.731	200
42	0.636	124.527	13.6052	105.842	200
43	0.636355	124.745	13.6654	105.95	200
44	0.63658	124.948	13.726	106.058	200
45	0.636969	108.574	13.6041	106.072	200
46	0.637357	108.92	13.4872	106.087	200
47	0.644695	101.758	13.3918	106.064	200
48	0.645004	102.001	13.2947	106.043	200
