time	pps	kbps
0.100083	0	0
0.200163	1	35.232
0.300227	2	70.464
0.400282	4	140.928
0.5004	8	281.856
0.600519	16	563.712
0.700639	18	634.176
0.800785	23	810.336
0.900909	24	845.568
1.00099	41	1444.51
1.10109	68	2395.78
1.2012	39	1374.05
1.30128	62	2184.38
1.40133	64	2254.85
1.5015	45	1585.44
1.60158	36	1268.35
1.70165	10	352.32
1.80178	55	1937.76
1.90185	33	1162.66
2.00194	25	880.8
2.10206	10	352.32
2.20218	21	739.872
2.3023	37	1303.58
2.40239	32	1127.42
2.50245	19	669.408
2.60258	22	775.104
2.70264	33	1162.66
2.80275	25	880.8
2.90287	12	422.784
3.00298	14	493.248
3.10306	27	951.264
3.20313	28	986.496
3.30322	19	669.408
3.40332	16	563.712
3.50337	10	352.32
3.60349	27	951.264
3.70361	5	176.16
3.80372	29	1021.73
3.90379	31	1092.19
4.00386	10	352.32
4.10397	13	458.016
4.20407	8	281.856
4.30417	40	1409.28
4.4044	45	1585.44
4.50445	38	1338.82
4.60457	46	1620.67
4.70472	29	1021.73
4.80485	39	1374.05
4.90497	9	317.088
5.00522	22	775.104
5.10533	39	1374.05
5.20545	47	1655.9
5.30552	44	1550.21
5.40558	14	493.248
5.50614	44	1550.21
5.60642	36	1268.35
5.70646	36	1268.35
5.80649	44	1550.21
5.90712	30	1056.96
6.00718	35	1233.12
6.10727	19	669.408
6.20739	37	1303.58
6.30751	23	810.336
6.40763	18	634.176
6.50774	22	775.104
6.60785	13	458.016
6.70796	8	281.856
6.80816	29	1021.73
6.90822	9	317.088
7.00835	41	1444.51
7.10847	2	70.464
7.20858	29	1021.73
7.3087	11	387.552
7.40878	8	281.856
7.50887	8	281.856
7.609	4	140.928
7.70912	18	634.176
7.80917	6	211.392
7.90928	35	1233.12
8.0094	11	387.552
8.10947	15	528.48
8.20957	10	352.32
8.30964	8	281.856
8.40971	15	528.48
8.50983	29	1021.73
8.60989	9	317.088
8.70995	4	140.928
8.81002	23	810.336
8.91014	17	598.944
9.01026	18	634.176
9.11038	24	845.568
