segment	time	rtt	rttvar	srtt	rto
1	0.0523182	52.13	26.065	52.13	200
2	0.104876	52.4555	19.6301	52.1707	200
3	0.105019	52.6076	14.8318	52.2253	200
4	0.157009	52.0169	13.0039	52.2122	200
5	0.157711	52.7318	11.4434	52.2447	200
6	0.158439	53.3496	10.5818	52.2908	200
7	0.158706	53.5996	9.80906	52.3453	200
8	0.211118	53.9923	9.29894	52.3968	200
9	0.211493	54.3711	8.84115	52.4585	200
10	0.212394	54.6122	8.50678	52.5123	200
11	0.212532	54.7463	8.19314	52.5682	200
12	0.213814	55.3137	7.96615	52.6253	200
13	0.214277	55.7492	7.76439	52.6904	200
14	0.215034	56.2722	7.61501	52.7544	200
15	0.215239	56.4737	7.45269	52.8319	200
16	0.264416	53.1931	7.19943	52.8383	200
17	0.264783	53.5648	6.96825	52.8513	200
18	0.265803	54.2383	6.79383	52.873	200
19	0.266078	54.4992	6.63234	52.8984	200
20	0.267146	54.6869	6.4978	52.9232	200
21	0.26741	54.9442	6.37344	52.9513	200
22	0.26798	55.3921	6.2642	52.9852	200
23	0.268233	55.6395	6.17395	53.0184	200
24	0.26891	55.0327	6.06996	53.0435	200
25	0.269162	55.279	5.98281	53.0689	200
26	0.269747	55.405	5.89993	53.0955	200
27	0.270278	55.8929	5.82942	53.1273	200
28	0.271048	55.7435	5.76248	53.1545	200
29	0.271293	55.991	5.70152	53.1841	200
30	0.31758	52.9792	5.58701	53.1819	200
31	0.317979	53.2725	5.4813	53.1828	200
32	0.319262	54.4023	5.39935	53.1945	200
33	0.319523	54.6741	5.32397	53.2088	200
34	0.320394	54.5282	5.24696	53.2215	200
35	0.320647	54.7742	5.18099	53.2353	200
36	0.32198	55.8258	5.13473	53.2585	200
37	0.322427	56.2854	5.09709	53.2855	200
38	0.323103	55.8901	5.05555	53.3072	200
39	0.323316	56.1004	5.01784	53.3305	200
40	0.323919	56.4519	4.98624	53.3565	200
41	0.324174	56.1443	4.9496	53.3797	200
42	0.324712	56.6614	4.92354	53.4053	200
43	0.324915	56.638	4.89712	53.4306	200
44	0.325409	57.1155	4.87818	53.4594	200
45	0.325608	56.6461	4.85175	53.4843	200
46	0.32601	57.0151	4.83232	53.5102	200
47	0.326245	57.0392	4.81315	53.5362	200
48	0.326755	56.9544	4.79264	53.5613	200
49	0.326962	57.1476	4.7749	53.5877	200
50	0.327469	57.117	4.7576	53.6122	200
51	0.327671	57.3169	4.74298	53.6379	200
52	0.328064	56.9469	4.72306	53.6609	200
53	0.32828	56.9399	4.703	53.6837	200
54	0.328807	57.4544	4.69005	53.7099	200
55	0.370132	52.4654	4.64472	53.7017	200
56	0.370439	52.7786	4.59575	53.6956	200
57	0.371091	52.6012	4.54968	53.6884	200
58	0.371356	52.0391	4.51152	53.6776	200
59	0.372089	52.7524	4.46433	53.6715	200
60	0.372761	53.1774	4.4147	53.6684	200
61	0.37347	53.0128	4.36771	53.6643	200
62	0.374169	53.693	4.31347	53.6645	200
63	0.37565	54.9436	4.27554	53.6725	200
64	0.375885	55.1801	4.24095	53.6819	200
65	0.377028	54.9772	4.20588	53.6896	200
66	0.377252	54.7791	4.16878	53.6961	200
67	0.377907	55.4056	4.1395	53.7063	200
68	0.37847	55.3146	4.10937	53.7158	200
69	0.379491	56.1209	4.08908	53.7301	200
70	0.379734	56.367	4.07258	53.7451	200
71	0.380747	56.7637	4.0606	53.7623	200
72	0.380982	56.7562	4.04848	53.7793	200
73	0.382633	58.3772	4.05472	53.8054	200
74	0.382868	58.1097	4.05756	53.8299	200
75	0.383627	58.6573	4.06631	53.8573	200
76	0.383876	58.9085	4.07701	53.8847	200
77	0.384594	59.1285	4.08969	53.9132	200
78	0.384823	59.175	4.10243	53.9418	200
79	0.38549	59.8229	4.12177	53.9738	200
80	0.38572	59.6502	4.13866	54.0047	200
81	0.386328	60.0296	4.15917	54.0374	200
82	0.386575	60.2759	4.18083	54.0699	200
83	0.387198	60.389	4.2031	54.1028	200
84	0.387421	60.4187	4.22511	54.1357	200
85	0.387823	60.7984	4.2505	54.1704	200
86	0.388053	60.5388	4.27256	54.2036	200
87	0.388561	60.8381	4.29717	54.2381	200
88	0.388798	60.6902	4.31872	54.2704	200
89	0.389342	61.2143	4.34497	54.3051	200
90	0.389572	61.2501	4.37097	54.3398	200
91	0.390905	62.0367	4.40423	54.3783	200
92	0.391138	62.2731	4.43913	54.4178	200
93	0.422779	52.558	4.41334	54.4085	200
94	0.423695	53.1925	4.3826	54.4026	200
95	0.424429	53.9147	4.34515	54.4003	200
96	0.424945	53.7883	4.30925	54.3974	200
97	0.426032	54.6163	4.26992	54.3984	200
98	0.426341	54.1928	4.23084	54.3974	200
99	0.426945	54.7825	4.19386	54.3993	200
100	0.427562	54.5817	4.15529	54.4001	200
101	0.428428	54.8974	4.12142	54.4024	200
102	0.428725	55.19	4.09055	54.4061	200
103	0.430275	55.843	4.06598	54.4127	200
104	0.430558	54.849	4.03237	54.4148	200
105	0.431182	55.2471	4.00274	54.4186	200
106	0.43142	55.4781	3.97549	54.4235	200
107	0.431985	54.8987	3.94308	54.4257	200
108	0.432215	54.9216	3.9123	54.4279	200
109	0.432953	54.9908	3.8824	54.4305	200
110	0.433172	55.2086	3.85468	54.4339	200
111	0.434253	55.7185	3.83173	54.4397	200
112	0.434491	54.9491	3.80207	54.4419	200
113	0.435319	55.7569	3.77986	54.4478	200
114	0.435542	55.7765	3.75798	54.4537	200
115	0.436515	55.7051	3.73637	54.4591	200
116	0.436741	55.7178	3.71501	54.4646	200
117	0.437487	56.4393	3.70001	54.4731	200
118	0.438046	55.3564	3.67573	54.4769	200
119	0.438676	55.7548	3.65505	54.4824	200
120	0.438913	55.2338	3.63002	54.4856	200
121	0.439715	56.0098	3.61187	54.4922	200
122	0.440474	56.5404	3.59884	54.5007	200
123	0.441439	56.7802	3.58784	54.5102	200
124	0.441674	56.8096	3.57711	54.5198	200
125	0.442017	57.1306	3.56905	54.5307	200
126	0.44231	56.7621	3.55791	54.54	200
127	0.442981	57.2089	3.5505	54.5511	200
128	0.443222	56.8454	3.54003	54.5607	200
129	0.443828	57.4269	3.53442	54.5726	200
130	0.444072	57.4565	3.52917	54.5842	200
131	0.4447	57.4451	3.52378	54.5958	200
132	0.444929	57.4659	3.51851	54.6073	200
133	0.446137	58.6544	3.52277	54.6237	200
134	0.446579	58.694	3.52719	54.6401	200
135	0.447244	59.1389	3.53502	54.6582	200
136	0.447476	58.8664	3.54045	54.6752	200
137	0.448023	59.3941	3.54996	54.6942	200
