time	pps	kbps
0.100185	0	0
0.200329	1	35.232
0.301378	2	70.464
0.401626	4	140.928
0.502466	8	281.856
0.603372	16	563.712
0.704761	30	1056.96
0.805059	60	2113.92
0.906186	32	1127.42
1.00645	33	1162.66
1.10661	34	1197.89
1.20678	35	1233.12
1.30781	36	1268.35
1.40795	37	1303.58
1.509	38	1338.82
1.60924	39	1374.05
1.71016	40	1409.28
1.81035	41	1444.51
1.9115	42	1479.74
2.0124	43	1514.98
2.11257	44	1550.21
2.21521	11	387.552
2.31693	40	1409.28
2.41716	39	1374.05
2.51729	24	845.568
2.61754	26	916.032
2.71861	27	951.264
2.81873	28	986.496
2.91889	29	1021.73
3.01919	30	1056.96
3.12007	31	1092.19
3.22014	32	1127.42
3.32021	33	1162.66
3.42157	34	1197.89
3.5222	35	1233.12
3.62334	36	1268.35
3.72348	34	1197.89
3.82355	31	1092.19
3.92375	35	1233.12
4.02465	38	1338.82
4.12472	40	1409.28
4.22485	36	1268.35
4.3249	40	1409.28
4.42583	38	1338.82
4.52599	43	1514.98
4.62628	43	1514.98
4.72632	44	1550.21
4.82836	47	1655.9
4.92853	45	1585.44
5.03018	47	1655.9
5.13305	50	1761.6
5.23325	51	1796.83
5.33374	52	1832.06
5.43388	53	1867.3
5.53472	54	1902.53
5.63487	55	1937.76
5.73493	56	1972.99
5.83571	57	2008.22
5.93685	58	2043.46
6.03705	39	1374.05
6.15101	41	1444.51
6.25113	56	1972.99
6.35143	58	2043.46
6.45235	32	1127.42
6.55251	33	1162.66
6.65277	32	1127.42
6.75292	35	1233.12
6.85359	36	1268.35
6.95528	16	563.712
7.05536	36	1268.35
7.15545	37	1303.58
7.25654	39	1374.05
7.35832	40	1409.28
7.45927	41	1444.51
7.55984	26	916.032
7.66005	30	1056.96
7.76019	43	1514.98
7.86039	44	1550.21
7.96061	45	1585.44
8.06076	46	1620.67
8.16094	47	1655.9
8.26109	47	1655.9
8.36215	49	1726.37
8.46245	50	1761.6
8.56253	51	1796.83
8.66258	52	1832.06
8.76275	53	1867.3
8.86299	54	1902.53
8.96306	47	1655.9
9.0631	50	1761.6
9.16327	56	1972.99
9.26343	50	1761.6
9.36363	49	1726.37
9.46373	53	1867.3
9.56431	54	1902.53
9.6647	58	2043.46
9.76585	62	2184.38
9.866	63	2219.62
9.96611	64	2254.85
10.0668	65	2290.08
10.1669	56	1972.99
10.2678	44	1550.21
10.3679	65	2290.08
10.4681	65	2290.08
10.5682	34	1197.89
10.6685	30	1056.96
10.7686	36	1268.35
10.8688	39	1374.05
10.9689	40	1409.28
11.0696	36	1268.35
11.1698	41	1444.51
11.2707	42	1479.74
11.3708	43	1514.98
11.4713	43	1514.98
11.5719	45	1585.44
11.6738	37	1303.58
11.7739	46	1620.67
11.874	48	1691.14
11.9751	49	1726.37
12.0752	49	1726.37
12.1754	43	1514.98
12.2794	38	1338.82
12.3795	48	1691.14
12.4797	48	1691.14
12.5798	26	916.032
12.6799	35	1233.12
12.7807	29	1021.73
12.8816	30	1056.96
12.9827	31	1092.19
13.0829	32	1127.42
13.183	33	1162.66
13.2832	34	1197.89
13.3833	35	1233.12
13.4835	36	1268.35
13.5837	37	1303.58
13.6847	38	1338.82
13.7865	39	1374.05
13.8876	40	1409.28
13.9877	33	1162.66
14.0878	31	1092.19
14.1878	39	1374.05
14.2879	43	1514.98
14.3884	39	1374.05
14.4891	44	1550.21
14.59	46	1620.67
14.6911	47	1655.9
14.7913	48	1691.14
14.8915	39	1374.05
14.9917	49	1726.37
15.0918	51	1796.83
15.1926	52	1832.06
15.2928	53	1867.3
15.393	54	1902.53
15.4931	55	1937.76
15.5933	56	1972.99
15.6943	57	2008.22
15.7945	58	2043.46
15.8951	59	2078.69
15.9952	60	2113.92
16.0954	61	2149.15
16.1955	62	2184.38
16.297	63	2219.62
16.3973	64	2254.85
16.4982	65	2290.08
16.5984	64	2254.85
16.6995	67	2360.54
16.7996	68	2395.78
16.8999	63	2219.62
17	62	2184.38
17.1006	67	2360.54
17.2009	70	2466.24
17.301	72	2536.7
17.4011	64	2254.85
17.5012	66	2325.31
17.6013	74	2607.17
17.7015	72	2536.7
17.8016	77	2712.86
17.9016	77	2712.86
18.0017	77	2712.86
18.1018	76	2677.63
18.2026	81	2853.79
18.3034	82	2889.02
18.4043	83	2924.26
18.5046	79	2783.33
18.6048	80	2818.56
18.7049	84	2959.49
18.8055	84	2959.49
18.9056	84	2959.49
19.0058	87	3065.18
19.1059	90	3170.88
19.2065	91	3206.11
19.3067	92	3241.34
19.4069	93	3276.58
19.5072	94	3311.81
19.608	95	3347.04
19.7082	96	3382.27
19.8083	95	3347.04
19.9084	89	3135.65
20.0085	93	3276.58
20.1087	93	3276.58
20.2088	95	3347.04
20.309	97	3417.5
20.409	96	3382.27
20.5091	96	3382.27
20.6094	101	3558.43
20.7097	100	3523.2
20.8097	103	3628.9
20.9098	105	3699.36
21.0099	108	3805.06
21.11	109	3840.29
21.2102	110	3875.52
21.3103	111	3910.75
21.4104	110	3875.52
21.5105	111	3910.75
21.6106	114	4016.45
21.7107	115	4051.68
21.8107	111	3910.75
21.9112	116	4086.91
22.0121	118	4157.38
22.1123	54	1902.53
22.2136	56	1972.99
22.3143	57	2008.22
22.4145	52	1832.06
22.5146	62	2184.38
22.6148	63	2219.62
22.7161	64	2254.85
22.8169	65	2290.08
22.9176	66	2325.31
23.0178	67	2360.54
23.1179	68	2395.78
23.218	69	2431.01
23.3183	70	2466.24
23.4184	71	2501.47
23.5185	72	2536.7
23.6187	73	2571.94
23.7188	74	2607.17
23.819	75	2642.4
23.9202	76	2677.63
24.0212	77	2712.86
24.1223	78	2748.1
24.2224	79	2783.33
24.3225	77	2712.86
24.4226	76	2677.63
24.5226	77	2712.86
24.6232	79	2783.33
24.7234	78	2748.1
24.8234	79	2783.33
24.9235	82	2889.02
25.0237	83	2924.26
25.124	82	2889.02
25.2241	83	2924.26
25.3246	82	2889.02
25.4247	87	3065.18
25.5248	90	3170.88
25.6249	86	3029.95
25.725	89	3135.65
25.8252	91	3206.11
25.9252	92	3241.34
26.0259	92	3241.34
26.1261	94	3311.81
26.2262	96	3382.27
26.3266	99	3487.97
26.4267	100	3523.2
26.5269	101	3558.43
26.627	102	3593.66
26.7272	100	3523.2
26.8272	103	3628.9
26.9273	105	3699.36
27.0279	106	3734.59
27.128	107	3769.82
27.2282	108	3805.06
27.3296	109	3840.29
27.4303	110	3875.52
27.5303	111	3910.75
27.6311	105	3699.36
27.732	109	3840.29
27.8322	111	3910.75
27.9324	110	3875.52
28.0325	110	3875.52
28.1326	109	3840.29
28.2327	113	3981.22
28.333	118	4157.38
28.4331	116	4086.91
28.5334	115	4051.68
28.6336	117	4122.14
28.7336	118	4157.38
28.8337	119	4192.61
28.9342	122	4298.3
29.0343	122	4298.3
29.1343	122	4298.3
29.2344	122	4298.3
29.3346	124	4368.77
29.4353	127	4474.46
29.5356	126	4439.23
29.6357	129	4544.93
29.7358	131	4615.39
29.8359	127	4474.46
29.9364	132	4650.62
30.0365	133	4685.86
30.1366	132	4650.62
30.2374	134	4721.09
30.3375	136	4791.55
30.4377	136	4791.55
30.5377	135	4756.32
30.6378	141	4967.71
30.7379	137	4826.78
30.838	135	4756.32
30.9381	139	4897.25
31.0385	137	4826.78
31.1386	141	4967.71
31.2386	143	5038.18
31.3388	143	5038.18
31.4389	145	5108.64
31.539	147	5179.1
31.6391	144	5073.41
31.7398	148	5214.34
31.8399	149	5249.57
31.9407	149	5249.57
32.0408	150	5284.8
32.1409	155	5460.96
32.2409	151	5320.03
32.341	154	5425.73
32.4413	158	5566.66
32.5414	159	5601.89
32.6414	158	5566.66
32.7416	156	5496.19
32.8427	161	5672.35
32.9429	159	5601.89
33.043	154	5425.73
33.1433	162	5707.58
33.2436	160	5637.12
33.3436	161	5672.35
33.4438	163	5742.82
33.5439	160	5637.12
33.644	165	5813.28
33.7441	162	5707.58
33.8443	167	5883.74
33.9444	163	5742.82
34.0445	169	5954.21
34.1452	175	6165.6
34.2454	171	6024.67
34.3454	170	5989.44
34.4455	171	6024.67
34.5456	172	6059.9
34.6458	173	6095.14
34.7459	176	6200.83
34.8459	174	6130.37
34.9461	178	6271.3
35.0462	176	6200.83
35.1463	177	6236.06
35.2463	176	6200.83
35.3463	170	5989.44
35.4464	168	5918.98
35.5464	176	6200.83
35.6467	172	6059.9
35.7467	178	6271.3
35.8467	178	6271.3
35.947	168	5918.98
36.047	173	6095.14
36.1479	174	6130.37
36.248	175	6165.6
36.3482	171	6024.67
36.4483	173	6095.14
36.5483	190	6694.08
36.6484	89	3135.65
36.7485	98	3452.74
36.8486	96	3382.27
36.9495	98	3452.74
37.0496	100	3523.2
37.1496	101	3558.43
37.2504	102	3593.66
37.3506	102	3593.66
37.4506	104	3664.13
37.5516	106	3734.59
37.6519	107	3769.82
37.752	109	3840.29
37.8528	111	3910.75
37.9529	110	3875.52
38.053	113	3981.22
38.1535	114	4016.45
38.2537	115	4051.68
38.3539	116	4086.91
38.454	117	4122.14
38.5543	83	2924.26
38.6543	100	3523.2
38.7544	62	2184.38
38.8546	61	2149.15
38.9547	62	2184.38
39.0549	63	2219.62
39.155	64	2254.85
39.2553	65	2290.08
39.3555	66	2325.31
39.4561	67	2360.54
39.5562	68	2395.78
39.6564	69	2431.01
39.7565	70	2466.24
39.8578	71	2501.47
39.9589	72	2536.7
40.0607	73	2571.94
40.1618	74	2607.17
40.2628	75	2642.4
40.3637	76	2677.63
40.4639	76	2677.63
40.564	73	2571.94
40.6642	75	2642.4
40.7654	80	2818.56
40.8655	81	2853.79
40.9656	78	2748.1
41.0671	79	2783.33
41.1672	79	2783.33
41.2673	80	2818.56
41.3675	80	2818.56
41.4676	78	2748.1
41.5677	83	2924.26
41.6679	85	2994.72
41.768	88	3100.42
41.8689	88	3100.42
41.97	91	3206.11
42.0701	92	3241.34
42.1702	88	3100.42
42.2703	90	3170.88
42.3704	92	3241.34
42.4705	93	3276.58
42.5707	93	3276.58
42.6714	96	3382.27
42.7715	96	3382.27
42.8716	98	3452.74
42.9717	101	3558.43
43.0718	100	3523.2
43.172	99	3487.97
43.2722	104	3664.13
43.3723	105	3699.36
43.4724	106	3734.59
43.5725	107	3769.82
43.6726	108	3805.06
43.7727	107	3769.82
43.8728	110	3875.52
43.9733	111	3910.75
44.0734	112	3945.98
44.1736	113	3981.22
44.2738	112	3945.98
44.3741	107	3769.82
44.4742	102	3593.66
44.5742	111	3910.75
44.6746	114	4016.45
44.775	115	4051.68
44.8756	117	4122.14
44.9758	116	4086.91
45.0759	118	4157.38
45.1762	115	4051.68
45.2767	118	4157.38
45.377	117	4122.14
45.4773	122	4298.3
45.5775	123	4333.54
45.6776	126	4439.23
45.7776	128	4509.7
45.8777	124	4368.77
45.9779	128	4509.7
46.078	131	4615.39
46.178	127	4474.46
46.2781	130	4580.16
46.3782	129	4544.93
46.4783	131	4615.39
46.5784	132	4650.62
46.6784	134	4721.09
46.7785	134	4721.09
46.8786	138	4862.02
46.9786	140	4932.48
47.0787	140	4932.48
47.179	138	4862.02
47.2791	137	4826.78
47.3794	132	4650.62
47.4798	116	4086.91
47.5802	141	4967.71
47.6803	132	4650.62
47.7805	143	5038.18
47.8807	145	5108.64
47.981	145	5108.64
48.0817	147	5179.1
48.1818	149	5249.57
48.2819	150	5284.8
48.3819	149	5249.57
48.482	141	4967.71
48.5822	118	4157.38
48.6823	92	3241.34
48.7823	63	2219.62
48.8825	79	2783.33
48.9825	78	2748.1
49.0826	72	2536.7
49.1828	77	2712.86
49.283	83	2924.26
49.3832	82	2889.02
49.4834	83	2924.26
49.5835	82	2889.02
49.6929	82	2889.02
49.7934	71	2501.47
49.8941	73	2571.94
49.9954	46	1620.67
50.0956	47	1655.9
50.1958	48	1691.14
50.296	49	1726.37
50.3961	48	1691.14
50.497	48	1691.14
50.5976	48	1691.14
50.6978	50	1761.6
50.798	47	1655.9
50.8982	47	1655.9
50.9988	51	1796.83
51.0992	48	1691.14
51.1997	55	1937.76
51.3003	58	2043.46
51.4011	59	2078.69
51.5012	59	2078.69
51.6013	56	1972.99
51.7014	59	2078.69
51.8018	31	1092.19
51.9019	32	1127.42
52.002	31	1092.19
52.103	35	1233.12
52.2035	36	1268.35
52.3044	37	1303.58
52.4057	38	1338.82
52.5059	39	1374.05
52.6061	40	1409.28
52.7062	41	1444.51
52.8063	42	1479.74
52.9064	43	1514.98
53.0073	44	1550.21
53.1074	45	1585.44
53.2075	46	1620.67
53.3087	47	1655.9
53.4089	48	1691.14
53.5099	49	1726.37
53.6109	50	1761.6
53.7119	51	1796.83
53.8128	52	1832.06
53.9129	53	1867.3
54.013	54	1902.53
54.1132	52	1832.06
54.2132	50	1761.6
54.3133	53	1867.3
54.4135	53	1867.3
54.5136	54	1902.53
54.6138	52	1832.06
54.714	55	1937.76
54.8176	41	1444.51
54.9178	32	1127.42
55.0187	32	1127.42
55.1188	31	1092.19
55.2195	32	1127.42
55.3196	34	1197.89
55.4197	35	1233.12
55.5198	36	1268.35
55.6198	37	1303.58
55.7199	36	1268.35
55.821	39	1374.05
55.9212	40	1409.28
56.0225	41	1444.51
56.1228	42	1479.74
56.223	43	1514.98
56.3239	44	1550.21
56.424	45	1585.44
56.5242	46	1620.67
56.6252	47	1655.9
56.7253	48	1691.14
56.8254	49	1726.37
56.9256	42	1479.74
57.0257	47	1655.9
57.1261	46	1620.67
57.2268	47	1655.9
57.3274	45	1585.44
57.4275	49	1726.37
57.5278	49	1726.37
57.6281	52	1832.06
57.7284	55	1937.76
57.8286	58	2043.46
57.9287	59	2078.69
58.0288	60	2113.92
58.1289	61	2149.15
58.229	62	2184.38
58.3291	63	2219.62
58.4292	64	2254.85
58.5293	65	2290.08
58.6294	66	2325.31
58.7307	67	2360.54
58.8318	68	2395.78
58.932	69	2431.01
59.0322	70	2466.24
